Situação Pós-Pleito;Nome Completo;Nome Urna;Cargo;Número;Partido;Situação;Coligação
Concorrendo;DANIEL SILVA DE ARAUJO;PROFESSOR DANIEL ARAÚJO;Deputado Distrital;11117;PP;Aguardando julgamento;PP
Concorrendo;DANIEL DAMASCENO CREPALDI;PROFESSOR DANIEL CREPALDI;Deputado Distrital;10000;PRB;Aguardando julgamento;COLIGAÇÃO UNIDOS PELO DF 3
Concorrendo;DAVI MOREIRA DOS SANTOS;PROFESSOR DAVI MOREIRA;Deputado Distrital;90156;PROS;Aguardando julgamento;PROS
Concorrendo;EDGARD ROGERIO DE SIQUEIRA VASCONCELOS;PROFESSOR EDGARD;Deputado Distrital;20456;PSC;Aguardando julgamento;PSC
Concorrendo;EDUARDO REZENDE DE CARVALHO;PROFESSOR EDUARDO REZENDE;Deputado Distrital;11789;PP;Aguardando julgamento;PP
Concorrendo;ELIAS SILVA ARAUJO;PROFESSOR ELIAS;Deputado Distrital;65222;PC do B;Aguardando julgamento;Brasília Justa e de mãos limpas
Concorrendo;ELUIDES AGAPITO MOREIRA;PROFESSOR ELUÍDES AGAPITO;Deputado Distrital;11204;PP;Aguardando julgamento;PP
Concorrendo;FABIO LETICIO OLIVEIRA DE SOUZA;PROFESSOR FABIO LETICIO;Deputado Distrital;11109;PP;Aguardando julgamento;PP
Concorrendo;FABIO PEREIRA DE SOUSA;PROFESSOR FÁBIO SOUSA;Deputado Distrital;12156;PDT;Aguardando julgamento;SUSTENTABILIDADE E TRABALHO
Concorrendo;RODRIGO FRANCELINO ALVES;PROFESSOR FRANCELINO;Deputado Distrital;43123;PV;Aguardando julgamento;SUSTENTABILIDADE E TRABALHO
Concorrendo;GLAUCO DE SILVA E SILVA;PROFESSOR GLAUCO;Deputado Distrital;13113;PT;Aguardando julgamento;PT
Concorrendo;HERCULES GOMES RIBEIRO;PROFESSOR HÉRCULES;Deputado Distrital;11111;PP;Aguardando julgamento;PP
Concorrendo;HÉRCULES CEZÁRIO DA SILVA DO NASCIMENTO;PROFESSOR HERCULES  CEZAR;Deputado Distrital;14567;PTB;Aguardando julgamento;PTB
Concorrendo;INALDO DO NASCIMENTO;PROFESSOR INALDO DO NASCIMENTO;Deputado Distrital;44666;PRP;Aguardando julgamento;BRASÍLIA ACIMA DE TUDO
Concorrendo;IVAN CANDIDO DE MORAES;PROFESSOR IVAN MORAES;Deputado Distrital;27777;DC;Aguardando julgamento;TODOS PELO DF
Concorrendo;JORDENES FERREIRA DA SILVA;PROFESSOR JORDENES;Deputado Distrital;14456;PTB;Aguardando julgamento;PTB
Concorrendo;ADIMILSON DA ROSA BRITES;PROFESSOR JUQUINHA;Deputado Distrital;10033;PRB;Aguardando julgamento;COLIGAÇÃO UNIDOS PELO DF 3
Concorrendo;LEONARDO MIRANDA DE CASTRO;PROFESSOR LEONARDO MIRANDA;Deputado Distrital;51234;PATRI;Aguardando julgamento;RENOVA DF
Concorrendo;MANOEL MORAIS DE OLIVEIRA NETO ALEXANDRE;PROFESSOR MANOEL MORAIS;Deputado Distrital;23500;PPS;Aguardando julgamento;PPS
Concorrendo;ORLANDO SALES DE OLIVEIRA JUNIOR;PROFESSOR ORLANDO JÚNIOR;Deputado Distrital;11911;PP;Aguardando julgamento;PP
Concorrendo;LEONARDO LUIS DE FREITAS PEDRON;PROFESSOR PEDRON;Deputado Distrital;77543;SOLIDARIEDADE;Aguardando julgamento;COLIGAÇÃO UNIDOS PELO DF 3
Concorrendo;RAUL RODRIGUES DOS SANTOS;PROFESSOR RAUL;Deputado Distrital;44123;PRP;Aguardando julgamento;BRASÍLIA ACIMA DE TUDO
Concorrendo;REGINALDO VERAS COELHO;PROFESSOR REGINALDO VERAS;Deputado Distrital;12345;PDT;Aguardando julgamento;SUSTENTABILIDADE E TRABALHO
Concorrendo;ROBERT JOSE MIRANDA LIMA;PROFESSOR ROBERT;Deputado Distrital;27444;DC;Aguardando julgamento;TODOS PELO DF
Concorrendo;ROBINSON NOGUEIRA BARROSO PAIS;PROFESSOR ROBINSON PAIS;Deputado Distrital;45000;PSDB;Aguardando julgamento;TODOS PELO DF
Concorrendo;RODRIGO BENTO DOS SANTOS;PROFESSOR RODRIGÃO;Deputado Distrital;51000;PATRI;Aguardando julgamento;RENOVA DF
Concorrendo;JOSE VASCONCELOS CAMPOS DE SOUZA;PROFESSOR VASCO;Deputado Distrital;13713;PT;Aguardando julgamento;PT
